INDUSTRY,YEAR,SATIS,CONFIRM,IDEAL,OVERALLX,CUSTOMX,WRONGX,OVERALLQ,CUSTOMQ,WRONGQ,PQ,QP,COMP,HANDLE,REPUR,HIGHPTOL,LOWPTOL,AGE,EDUCAT,HISPANIC,RACE_1,RACE_2,RACE_3,RACE_4,RACE_5,INCOME,GENDER,ZIPCODE
3003,2015,9,9,9,10.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,0.0,,9.0,5.0,,49,5.0,0.0,6.0,,,,,7.0,1.0,32818.0
3003,2015,9,8,8,8.0,9.0,8.0,9.0,8.0,9.0,6.0,7.0,0.0,,9.0,15.0,,54,4.0,0.0,1.0,,,,,6.0,1.0,32223.0
3003,2015,8,8,7,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,0.0,,9.0,15.0,,63,4.0,0.0,1.0,,,,,7.0,2.0,11598.0
3003,2015,8,8,8,10.0,10.0,3.0,9.0,7.0,6.0,7.0,8.0,0.0,,9.0,5.0,,24,4.0,0.0,1.0,,,,,2.0,2.0,14228.0
3003,2015,9,5,7,10.0,10.0,9.0,9.0,10.0,10.0,8.0,8.0,0.0,,7.0,0.0,,51,5.0,0.0,1.0,,,,,7.0,1.0,22193.0
3003,2015,8,7,7,8.0,7.0,2.0,8.0,8.0,8.0,8.0,7.0,0.0,,8.0,15.0,,32,4.0,0.0,1.0,,,,,7.0,1.0,90048.0
3003,2015,9,7,8,10.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,0.0,,9.0,8.0,,56,4.0,0.0,1.0,,,,,6.0,2.0,75032.0
3003,2015,8,2,8,9.0,8.0,5.0,8.0,8.0,1.0,7.0,9.0,0.0,,10.0,98.0,,67,5.0,0.0,1.0,,,,,7.0,1.0,60015.0
3003,2015,9,6,5,9.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0,0.0,,9.0,20.0,,24,4.0,0.0,4.0,,,,,2.0,2.0,44221.0
3003,2015,8,9,7,8.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,0.0,,9.0,10.0,,56,4.0,0.0,1.0,,,,,7.0,1.0,60491.0
3003,2015,8,7,7,8.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,0.0,,10.0,101.0,,53,4.0,0.0,1.0,,,,,4.0,2.0,32526.0
3003,2015,5,4,2,6.0,8.0,3.0,5.0,7.0,7.0,5.0,4.0,0.0,,8.0,10.0,,63,5.0,0.0,1.0,,,,,7.0,2.0,8873.0
3003,2015,8,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,,10.0,26.0,,50,5.0,0.0,1.0,,,,,7.0,1.0,31721.0
3003,2015,9,9,9,10.0,9.0,3.0,9.0,8.0,9.0,9.0,10.0,1.0,6.0,8.0,26.0,,34,2.0,0.0,1.0,,,,,7.0,1.0,95838.0
3003,2015,9,8,9,9.0,9.0,4.0,8.0,8.0,4.0,9.0,9.0,1.0,10.0,10.0,98.0,,59,5.0,0.0,99.0,,,,,99.0,2.0,35205.0
3003,2015,8,9,9,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,0.0,,9.0,12.0,,36,4.0,1.0,1.0,,,,,6.0,2.0,89147.0
3003,2015,3,2,2,5.0,7.0,6.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,,26.0,32,4.0,0.0,1.0,,,,,6.0,2.0,55423.0
3003,2015,10,7,8,8.0,7.0,8.0,9.0,9.0,8.0,9.0,8.0,0.0,,9.0,15.0,,43,5.0,0.0,1.0,,,,,7.0,1.0,44645.0
3003,2015,7,5,9,6.0,8.0,9.0,8.0,9.0,10.0,7.0,7.0,0.0,,9.0,98.0,,40,5.0,0.0,1.0,,,,,7.0,1.0,44140.0
3003,2015,8,2,9,9.0,9.0,6.0,8.0,9.0,6.0,9.0,8.0,0.0,,9.0,5.0,,24,4.0,0.0,1.0,,,,,6.0,2.0,18925.0
3003,2015,9,6,8,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,,2.0,,2.0,57,3.0,0.0,1.0,,,,,7.0,1.0,3561.0
3003,2015,8,9,5,9.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,0.0,,8.0,26.0,,30,4.0,0.0,4.0,,,,,5.0,1.0,65401.0
3003,2015,9,9,9,10.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,0.0,,9.0,26.0,,31,5.0,1.0,1.0,,,,,7.0,1.0,33140.0
3003,2015,9,6,9,9.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,0.0,,8.0,10.0,,23,4.0,0.0,1.0,,,,,7.0,1.0,2458.0
